Tanggal,Suhu Minimum,Suhu Maksimum,Suhu Rata-rata,Kelembaban Relatif Rata rata,Curah Hujan,Durasi Penyinaran Matahari (dalam jam),Kecepatan Angin (dalam meter per detik),Arah Angin (dalam derajat),Kecepatan Angin Rata rata (dalam meter per detik)
2023-04-02,24.5,32.2,26.5,88.0,7.5,6.7,2.0,350.0,1.0
2023-04-03,23.6,33.5,27.3,86.0,7.6,2.8,7.0,150.0,2.0
2023-04-04,23.6,32.0,26.5,86.0,2.0,6.0,3.0,90.0,2.0
2023-04-05,23.6,29.4,25.9,90.0,7.8,2.8,2.0,350.0,1.0
2023-04-06,23.6,33.2,26.4,86.0,8888.0,0.0,2.0,270.0,1.0
2023-04-07,23.4,33.2,27.6,80.0,2.0,3.2,4.0,225.0,2.0
2023-04-08,24.4,33.2,28.4,78.0,0.0,7.2,2.0,240.0,1.0
2023-04-09,23.6,34.2,28.3,76.0,0.0,2.5,9.0,210.0,4.0
2023-04-10,24.4,33.3,28.3,76.0,0.0,9.2,10.0,270.0,4.0
2023-04-11,23.8,34.5,27.9,81.0,8888.0,8.3,3.0,120.0,2.0
2023-04-12,25.2,32.8,27.4,92.0,8888.0,7.3,3.0,350.0,1.0
2023-04-13,24.6,33.1,27.0,90.0,16.3,2.7,3.0,170.0,1.0
2023-04-14,24.4,28.0,26.0,92.0,20.4,5.5,2.0,120.0,1.0
2023-04-15,24.8,33.4,27.3,87.0,0.5,0.0,2.0,330.0,1.0
2023-04-16,23.8,31.9,26.0,92.0,4.5,4.5,2.0,120.0,1.0
2023-04-17,24.2,33.4,28.2,84.0,1.5,2.3,3.0,110.0,1.0
2023-04-18,24.2,32.9,27.7,86.0,0.0,6.0,2.0,280.0,1.0
2023-04-19,24.2,33.2,28.1,84.0,0.0,2.4,2.0,40.0,1.0
2023-04-20,24.4,31.4,27.2,92.0,0.0,7.0,2.0,10.0,1.0
2023-04-21,25.0,31.4,27.6,86.0,7.0,5.9,3.0,70.0,2.0
2023-04-22,25.3,29.2,26.7,92.0,2.5,1.7,3.0,330.0,2.0
2023-04-23,24.0,32.2,27.3,86.0,8.0,0.7,2.0,30.0,1.0
2023-04-24,23.2,34.1,28.0,82.0,8888.0,6.9,4.0,290.0,2.0
2023-04-25,24.2,34.0,28.8,81.0,0.0,8.7,3.0,180.0,2.0
2023-04-26,25.2,33.8,28.3,84.0,1.0,8.4,8.0,100.0,2.0
2023-04-27,24.2,31.8,27.2,90.0,2.3,5.0,2.0,40.0,1.0
2023-04-28,23.8,32.8,27.1,88.0,11.2,2.2,2.0,310.0,1.0
2023-04-29,25.1,32.0,27.4,89.0,2.3,4.7,2.0,200.0,1.0
2023-04-30,23.6,33.4,26.7,94.0,4.8,3.4,2.0,350.0,0.0
2023-05-01,25.4,33.2,28.3,84.0,3.8,5.8,3.0,360.0,1.0
2023-05-02,26.0,31.8,27.6,87.0,8888.0,3.4,3.0,280.0,1.0
2023-05-03,24.2,31.3,27.5,86.0,8888.0,3.2,4.0,40.0,1.0
2023-05-04,25.4,29.6,26.7,93.0,10.9,2.9,2.0,150.0,0.0
2023-05-05,23.6,31.2,26.8,90.0,21.4,0.0,2.0,250.0,1.0
2023-05-06,24.6,32.2,26.9,89.0,1.7,1.9,2.0,330.0,1.0
2023-05-07,24.2,32.2,27.3,87.0,1.4,0.8,4.0,215.0,2.0
2023-05-08,25.4,31.6,26.5,94.0,1.0,3.8,3.0,120.0,1.0
2023-05-09,25.2,33.0,30.1,79.0,16.6,2.0,2.0,20.0,1.0
2023-05-10,25.0,33.8,27.5,90.0,0.5,6.0,3.0,20.0,1.0
2023-05-11,24.8,33.5,27.4,87.0,17.5,4.2,2.0,230.0,1.0
2023-05-12,24.6,33.3,30.6,73.0,5.5,4.9,5.0,360.0,2.0
2023-05-13,25.2,33.6,28.4,82.0,0.0,8.6,2.0,80.0,1.0
2023-05-14,23.2,32.4,29.7,72.0,0.0,6.4,4.0,133.0,2.0
2023-05-15,24.8,32.2,29.4,75.0,0.0,5.8,2.0,100.0,1.0
2023-05-16,24.7,31.8,26.4,91.0,12.3,4.1,3.0,220.0,1.0
2023-05-17,9999.0,31.6,27.7,87.0,3.0,4.4,2.0,100.0,1.0
2023-05-18,24.8,31.8,27.7,83.0,10.4,1.7,2.0,100.0,1.0
2023-05-19,23.4,32.2,27.6,84.0,0.0,5.3,2.0,200.0,1.0
2023-05-20,23.8,32.4,27.2,83.0,1.0,5.6,2.0,210.0,1.0
2023-05-21,23.2,32.4,27.1,83.0,0.0,7.9,3.0,40.0,1.0
2023-05-22,24.4,30.4,26.2,88.0,0.0,5.8,4.0,350.0,2.0
2023-05-23,25.0,32.0,27.9,84.0,1.5,1.3,3.0,80.0,1.0
2023-05-24,24.0,32.9,25.4,94.0,0.0,4.4,3.0,120.0,1.0
2023-05-25,24.0,30.4,26.3,89.0,26.0,3.7,2.0,100.0,1.0
2023-05-26,23.8,31.8,29.0,76.0,1.2,0.7,2.0,210.0,1.0
2023-05-27,23.7,32.2,26.8,86.0,0.0,1.8,2.0,320.0,1.0
2023-05-28,23.9,31.8,27.2,84.0,8888.0,5.9,2.0,100.0,1.0
2023-05-29,24.0,31.6,27.1,85.0,0.0,5.5,2.0,350.0,1.0
2023-05-30,24.6,32.5,27.7,85.0,0.0,3.1,4.0,160.0,2.0
2023-05-31,24.6,29.0,25.0,97.0,8888.0,5.1,2.0,200.0,0.0
2023-06-01,23.8,29.7,26.3,89.0,13.7,0.0,2.0,280.0,1.0
2023-06-02,23.2,30.4,26.4,90.0,8888.0,1.5,2.0,170.0,1.0
2023-06-03,24.4,31.8,28.1,85.0,6.9,2.6,2.0,260.0,1.0
2023-06-04,24.0,30.2,26.2,93.0,38.6,3.8,2.0,250.0,1.0
2023-06-05,24.0,32.5,27.7,85.0,0.0,2.8,2.0,130.0,1.0
2023-06-06,22.6,33.4,26.8,80.0,0.0,7.0,2.0,40.0,1.0
2023-06-07,20.8,32.6,25.7,84.0,0.0,8.9,2.0,250.0,1.0
2023-06-08,22.6,32.4,29.3,76.0,0.0,6.6,2.0,280.0,0.0
2023-06-09,24.4,32.6,27.0,88.0,1.2,3.7,3.0,340.0,1.0
2023-06-10,24.0,31.4,26.6,91.0,54.3,4.8,3.0,25.0,1.0
2023-06-11,24.0,26.4,24.4,99.0,32.0,4.6,2.0,260.0,1.0
2023-06-12,23.6,28.8,26.6,89.0,13.3,0.0,4.0,255.0,2.0
2023-06-13,23.6,27.0,24.5,97.0,7.4,0.5,2.0,300.0,0.0
2023-06-14,24.0,32.6,28.6,80.0,31.2,0.0,2.0,290.0,1.0
2023-06-15,22.8,32.4,26.3,88.0,8888.0,5.1,2.0,140.0,0.0
2023-06-16,22.0,31.9,28.7,74.0,2.3,2.3,3.0,130.0,1.0
2023-06-17,23.0,31.4,26.9,88.0,0.3,5.4,3.0,160.0,1.0
2023-06-18,23.2,30.8,25.9,88.0,46.1,1.9,2.0,360.0,1.0
2023-06-19,23.8,30.9,26.2,90.0,8888.0,2.0,3.0,350.0,1.0
2023-06-20,22.2,32.0,26.2,89.0,0.5,0.6,2.0,220.0,1.0
2023-06-21,22.8,33.0,26.2,88.0,2.5,1.1,2.0,120.0,1.0
